locality_id,total_population,households,population_density,growth_rate,age_0_14_percent,age_15_29_percent,age_30_64_percent,age_65_plus_percent,male_percent,female_percent,avg_household_size,urbanization_level,last_updated
51,8900,1700,1000,1.8,33,21,41,5,50.7,49.3,5.2,semi-urban,2025-01-01
52,7500,1450,962,1.8,34,21,40,5,50.8,49.2,5.2,semi-urban,2025-01-01
53,8200,1550,901,1.8,33,21,41,5,50.7,49.3,5.3,semi-urban,2025-01-01
54,2900,550,879,1.6,32,20,43,5,50.6,49.4,5.3,rural,2025-01-01
55,9800,1850,790,1.7,32,21,42,5,50.7,49.3,5.3,semi-urban,2025-01-01
56,3100,600,1148,1.7,34,21,40,5,50.8,49.2,5.2,rural,2025-01-01
57,14500,2800,1526,2.0,35,22,38,5,51.1,48.9,5.2,semi-urban,2025-01-01
58,8900,1700,809,1.7,33,21,41,5,50.7,49.3,5.2,semi-urban,2025-01-01
59,6100,1150,726,1.6,32,20,43,5,50.6,49.4,5.3,semi-urban,2025-01-01
60,7200,1350,727,1.7,33,21,41,5,50.7,49.3,5.3,semi-urban,2025-01-01
61,5300,1000,736,1.6,32,20,43,5,50.6,49.4,5.3,semi-urban,2025-01-01
62,4800,900,980,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
63,6800,1300,781,1.6,32,20,43,5,50.6,49.4,5.2,semi-urban,2025-01-01
64,4200,800,1000,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
65,7800,1500,839,1.7,33,21,41,5,50.7,49.3,5.2,semi-urban,2025-01-01
66,8900,1700,840,1.7,33,21,41,5,50.7,49.3,5.2,semi-urban,2025-01-01
67,9700,1850,843,1.8,33,22,40,5,50.8,49.2,5.2,semi-urban,2025-01-01
