locality_id,education_level,count,last_updated
18,diploma,3363,2026-01-17
18,bachelor,4718,2026-01-17
18,master,1556,2026-01-17
18,phd,225,2026-01-17
19,no_schooling,617,2026-01-17
19,primary,2834,2026-01-17
19,secondary,3761,2026-01-17
19,diploma,1367,2026-01-17
19,bachelor,2125,2026-01-17
19,master,298,2026-01-17
19,phd,76,2026-01-17
20,no_schooling,1280,2026-01-17
20,primary,7455,2026-01-17
20,secondary,11771,2026-01-17
20,diploma,3885,2026-01-17
20,bachelor,7414,2026-01-17
20,master,789,2026-01-17
20,phd,213,2026-01-17
21,no_schooling,546,2026-01-17
21,primary,2253,2026-01-17
21,secondary,3331,2026-01-17
21,diploma,1283,2026-01-17
21,bachelor,1716,2026-01-17
21,master,401,2026-01-17
21,phd,52,2026-01-17
22,no_schooling,627,2026-01-17
22,primary,2647,2026-01-17
22,secondary,2681,2026-01-17
22,diploma,1106,2026-01-17
22,bachelor,1965,2026-01-17
22,master,500,2026-01-17
22,phd,45,2026-01-17
23,no_schooling,1960,2026-01-17
23,primary,6417,2026-01-17
23,secondary,8791,2026-01-17
23,diploma,2991,2026-01-17
23,bachelor,4562,2026-01-17
23,master,1377,2026-01-17
23,phd,109,2026-01-17
24,no_schooling,579,2026-01-17
24,primary,4603,2026-01-17
24,secondary,5580,2026-01-17
24,diploma,2214,2026-01-17
24,bachelor,3837,2026-01-17
24,master,944,2026-01-17
24,phd,81,2026-01-17
25,no_schooling,253,2026-01-17
25,primary,1701,2026-01-17
25,secondary,2542,2026-01-17
25,diploma,698,2026-01-17
25,bachelor,1388,2026-01-17
25,master,351,2026-01-17
25,phd,46,2026-01-17
26,no_schooling,623,2026-01-17
26,primary,2472,2026-01-17
26,secondary,3027,2026-01-17
26,diploma,1119,2026-01-17
26,bachelor,1624,2026-01-17
26,master,374,2026-01-17
26,phd,62,2026-01-17
27,no_schooling,1560,2026-01-17
27,primary,5022,2026-01-17
27,secondary,6680,2026-01-17
27,diploma,2303,2026-01-17
27,bachelor,2917,2026-01-17
27,master,993,2026-01-17
27,phd,80,2026-01-17
28,no_schooling,2813,2026-01-17
28,primary,7906,2026-01-17
28,secondary,10869,2026-01-17
28,diploma,3471,2026-01-17
28,bachelor,7376,2026-01-17
28,master,1203,2026-01-17
28,phd,224,2026-01-17
29,no_schooling,868,2026-01-17
29,primary,3092,2026-01-17
29,secondary,3975,2026-01-17
29,diploma,1601,2026-01-17
29,bachelor,1949,2026-01-17
29,master,696,2026-01-17
29,phd,95,2026-01-17
30,no_schooling,1171,2026-01-17
30,primary,6250,2026-01-17
30,secondary,8749,2026-01-17
30,diploma,3007,2026-01-17
30,bachelor,3774,2026-01-17
30,master,967,2026-01-17
30,phd,214,2026-01-17
31,no_schooling,1029,2026-01-17
31,primary,4260,2026-01-17
31,secondary,5302,2026-01-17
31,diploma,1919,2026-01-17
31,bachelor,3599,2026-01-17
31,master,621,2026-01-17
31,phd,122,2026-01-17
32,no_schooling,694,2026-01-17
32,primary,4480,2026-01-17
32,secondary,6059,2026-01-17
32,diploma,2399,2026-01-17
32,bachelor,3219,2026-01-17
32,master,798,2026-01-17
32,phd,50,2026-01-17
33,no_schooling,1146,2026-01-17
33,primary,4543,2026-01-17
33,secondary,5521,2026-01-17
33,diploma,2192,2026-01-17
33,bachelor,2452,2026-01-17
33,master,471,2026-01-17
33,phd,54,2026-01-17
34,no_schooling,1135,2026-01-17
34,primary,4666,2026-01-17
34,secondary,5644,2026-01-17
34,diploma,1884,2026-01-17
34,bachelor,3666,2026-01-17
34,master,692,2026-01-17
34,phd,76,2026-01-17
35,no_schooling,1677,2026-01-17
35,primary,10668,2026-01-17
35,secondary,12811,2026-01-17
35,diploma,4833,2026-01-17
35,bachelor,7889,2026-01-17
35,master,1335,2026-01-17
35,phd,124,2026-01-17
36,no_schooling,471,2026-01-17
36,primary,1401,2026-01-17
36,secondary,2084,2026-01-17
36,diploma,646,2026-01-17
36,bachelor,1363,2026-01-17
36,master,292,2026-01-17
36,phd,50,2026-01-17
37,no_schooling,683,2026-01-17
37,primary,2712,2026-01-17
37,secondary,3835,2026-01-17
37,diploma,1334,2026-01-17
37,bachelor,2327,2026-01-17
37,master,570,2026-01-17
37,phd,74,2026-01-17
38,no_schooling,2381,2026-01-17
38,primary,8885,2026-01-17
38,secondary,10703,2026-01-17
38,diploma,4342,2026-01-17
38,bachelor,7665,2026-01-17
38,master,1797,2026-01-17
38,phd,314,2026-01-17
39,no_schooling,303,2026-01-17
39,primary,1564,2026-01-17
39,secondary,1791,2026-01-17
39,diploma,561,2026-01-17
39,bachelor,1126,2026-01-17
39,master,293,2026-01-17
39,phd,45,2026-01-17
40,no_schooling,1042,2026-01-17
40,primary,7291,2026-01-17
40,secondary,7920,2026-01-17
40,diploma,3136,2026-01-17
40,bachelor,4041,2026-01-17
40,master,803,2026-01-17
40,phd,205,2026-01-17
41,no_schooling,169,2026-01-17
41,primary,1330,2026-01-17
41,secondary,1669,2026-01-17
41,diploma,444,2026-01-17
41,bachelor,683,2026-01-17
41,master,147,2026-01-17
41,phd,22,2026-01-17
42,no_schooling,1754,2026-01-17
42,primary,5961,2026-01-17
42,secondary,7930,2026-01-17
42,diploma,3638,2026-01-17
42,bachelor,5573,2026-01-17
42,master,1170,2026-01-17
42,phd,90,2026-01-17
43,no_schooling,2870,2026-01-17
43,primary,9707,2026-01-17
43,secondary,12081,2026-01-17
43,diploma,3503,2026-01-17
43,bachelor,5733,2026-01-17
43,master,2082,2026-01-17
43,phd,304,2026-01-17
44,no_schooling,713,2026-01-17
44,primary,3279,2026-01-17
44,secondary,4619,2026-01-17
44,diploma,1219,2026-01-17
44,bachelor,2538,2026-01-17
44,master,555,2026-01-17
44,phd,80,2026-01-17
45,no_schooling,1379,2026-01-17
45,primary,8571,2026-01-17
45,secondary,11187,2026-01-17
45,diploma,3645,2026-01-17
45,bachelor,7367,2026-01-17
45,master,1244,2026-01-17
45,phd,278,2026-01-17
46,no_schooling,2465,2026-01-17
46,primary,8175,2026-01-17
46,secondary,10865,2026-01-17
46,diploma,3412,2026-01-17
46,bachelor,4925,2026-01-17
46,master,1413,2026-01-17
46,phd,255,2026-01-17
47,no_schooling,687,2026-01-17
47,primary,3362,2026-01-17
47,secondary,4009,2026-01-17
47,diploma,1579,2026-01-17
47,bachelor,2831,2026-01-17
47,master,428,2026-01-17
47,phd,36,2026-01-17
48,no_schooling,1239,2026-01-17
48,primary,4231,2026-01-17
48,secondary,6824,2026-01-17
48,diploma,1944,2026-01-17
48,bachelor,3994,2026-01-17
48,master,525,2026-01-17
48,phd,153,2026-01-17
49,no_schooling,1615,2026-01-17
49,primary,8708,2026-01-17
49,secondary,10826,2026-01-17
49,diploma,4209,2026-01-17
49,bachelor,6688,2026-01-17
49,master,1900,2026-01-17
49,phd,158,2026-01-17
50,no_schooling,1926,2026-01-17
50,primary,8560,2026-01-17
50,secondary,11163,2026-01-17
50,diploma,3978,2026-01-17
50,bachelor,6988,2026-01-17
50,master,1637,2026-01-17
50,phd,241,2026-01-17
51,no_schooling,763,2026-01-17
51,primary,2820,2026-01-17
51,secondary,3771,2026-01-17
51,diploma,1351,2026-01-17
51,bachelor,1801,2026-01-17
51,master,553,2026-01-17
51,phd,33,2026-01-17
52,no_schooling,571,2026-01-17
52,primary,2153,2026-01-17
52,secondary,3376,2026-01-17
52,diploma,953,2026-01-17
52,bachelor,1780,2026-01-17
52,master,350,2026-01-17
52,phd,78,2026-01-17
53,no_schooling,1509,2026-01-17
53,primary,10655,2026-01-17
53,secondary,12484,2026-01-17
53,diploma,3989,2026-01-17
53,bachelor,8385,2026-01-17
53,master,952,2026-01-17
53,phd,327,2026-01-17
54,no_schooling,1678,2026-01-17
54,primary,6189,2026-01-17
54,secondary,7303,2026-01-17
54,diploma,2912,2026-01-17
54,bachelor,3711,2026-01-17
54,master,863,2026-01-17
54,phd,63,2026-01-17
55,no_schooling,1805,2026-01-17
55,primary,9346,2026-01-17
55,secondary,10228,2026-01-17
55,diploma,3955,2026-01-17
55,bachelor,4800,2026-01-17
55,master,770,2026-01-17
55,phd,254,2026-01-17
56,no_schooling,835,2026-01-17
56,primary,3830,2026-01-17
56,secondary,5290,2026-01-17
56,diploma,2083,2026-01-17
56,bachelor,3358,2026-01-17
56,master,538,2026-01-17
56,phd,102,2026-01-17
57,no_schooling,992,2026-01-17
57,primary,6712,2026-01-17
57,secondary,7994,2026-01-17
57,diploma,3302,2026-01-17
57,bachelor,4254,2026-01-17
57,master,1382,2026-01-17
57,phd,163,2026-01-17
58,no_schooling,743,2026-01-17
58,primary,3731,2026-01-17
58,secondary,4710,2026-01-17
58,diploma,1320,2026-01-17
58,bachelor,2322,2026-01-17
58,master,326,2026-01-17
58,phd,89,2026-01-17
59,no_schooling,866,2026-01-17
59,primary,2567,2026-01-17
59,secondary,3777,2026-01-17
59,diploma,1353,2026-01-17
59,bachelor,1746,2026-01-17
59,master,590,2026-01-17
59,phd,58,2026-01-17
60,no_schooling,354,2026-01-17
60,primary,1463,2026-01-17
60,secondary,2198,2026-01-17
60,diploma,831,2026-01-17
60,bachelor,1379,2026-01-17
60,master,302,2026-01-17
60,phd,34,2026-01-17
61,no_schooling,1408,2026-01-17
61,primary,6583,2026-01-17
61,secondary,9120,2026-01-17
61,diploma,3518,2026-01-17
61,bachelor,4585,2026-01-17
61,master,942,2026-01-17
61,phd,98,2026-01-17
62,no_schooling,528,2026-01-17
62,primary,3096,2026-01-17
62,secondary,3555,2026-01-17
62,diploma,1279,2026-01-17
62,bachelor,1821,2026-01-17
62,master,517,2026-01-17
62,phd,82,2026-01-17
63,no_schooling,1099,2026-01-17
63,primary,7294,2026-01-17
63,secondary,8954,2026-01-17
63,diploma,3553,2026-01-17
63,bachelor,4344,2026-01-17
63,master,1687,2026-01-17
63,phd,205,2026-01-17
64,no_schooling,2216,2026-01-17
64,primary,7984,2026-01-17
64,secondary,11780,2026-01-17
64,diploma,3063,2026-01-17
64,bachelor,4437,2026-01-17
64,master,1006,2026-01-17
64,phd,140,2026-01-17
65,no_schooling,1867,2026-01-17
65,primary,7056,2026-01-17
65,secondary,8645,2026-01-17
65,diploma,2670,2026-01-17
65,bachelor,5282,2026-01-17
65,master,1108,2026-01-17
65,phd,210,2026-01-17
66,no_schooling,645,2026-01-17
66,primary,2536,2026-01-17
66,secondary,3896,2026-01-17
66,diploma,1149,2026-01-17
66,bachelor,1914,2026-01-17
66,master,603,2026-01-17
66,phd,70,2026-01-17
67,no_schooling,2288,2026-01-17
67,primary,7877,2026-01-17
67,secondary,8340,2026-01-17
67,diploma,3959,2026-01-17
67,bachelor,6559,2026-01-17
67,master,745,2026-01-17
67,phd,249,2026-01-17
